query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
ARO:3000005	WP_063856692.1	0.997	343	1	0	1	343	1	343	1.5839999999999999e-229	699
ARO:3000010	WP_063856521.1	0.997	343	1	0	1	343	1	343	7.13e-230	700
ARO:3000013	WP_002593938.1	1.0	342	0	0	1	342	1	342	1.378e-230	702
ARO:3000118	WP_032490156.1	1.0	552	0	0	1	552	1	552	0.0	1104
ARO:3000124	WP_000369216.1	0.991	123	1	0	1	123	1	123	1.219e-79	254
ARO:3000165	WP_063855982.1	0.989	390	4	0	26	415	1	390	2.145e-258	787
ARO:3000166	WP_002244796.1	0.992	401	3	0	1	401	1	401	2.302e-263	800
ARO:3000167	WP_010891057.1	0.997	396	1	0	1	396	1	396	5.337e-260	790
ARO:3000168	WP_063856075.1	0.997	394	1	0	1	394	1	394	7.701e-255	775
ARO:3000172	WP_000943763.1	0.985	138	2	0	1	138	1	138	2.891e-94	297
ARO:3000173	WP_032490168.1	0.942	402	23	0	1	402	1	402	1.407e-253	772
ARO:3000174	WP_063856077.1	0.946	391	21	0	1	391	1	391	7.556999999999999e-245	746
ARO:3000175	WP_012209823.1	0.997	391	1	0	1	391	1	391	3.174e-259	788
ARO:3000177	WP_004245621.1	0.989	398	4	0	1	398	1	398	9.009000000000001e-264	801
ARO:3000178	WP_000492284.1	0.997	459	1	0	1	459	1	459	4.725000000000001e-302	915
ARO:3000179	WP_002294500.1	0.995	458	2	0	1	458	1	458	2.439e-300	910
ARO:3000180	WP_003479690.1	0.983	420	7	0	1	420	1	420	1.32e-270	822
ARO:3000181	WP_003896589.1	1.0	419	0	0	1	419	1	419	5.672e-271	823
ARO:3000182	WP_063856459.1	0.979	391	8	0	1	391	1	391	3.623e-253	770
ARO:3000183	WP_064190967.1	0.997	384	1	0	1	384	33	416	7.655000000000001e-250	760
ARO:3000186	WP_063856115.1	1.0	639	0	0	1	639	1	639	0.0	1306
ARO:3000190	WP_063856404.1	0.974	639	17	0	1	639	1	639	0.0	1277
ARO:3000191	WP_063856409.1	0.96	641	26	0	17	657	1	641	0.0	1260
ARO:3000192	WP_109544237.1	0.982	638	11	0	1	638	1	638	0.0	1275
ARO:3000193	WP_063856413.1	0.993	651	5	0	1	651	1	651	0.0	1311
ARO:3000194	WP_063856414.1	0.973	639	17	0	1	639	1	639	0.0	1258
ARO:3000195	WP_012478245.1	1.0	652	0	0	1	652	1	652	0.0	1308
ARO:3000196	WP_002602099.1	0.987	639	8	0	1	639	1	639	0.0	1292
ARO:3000197	WP_006744283.1	1.0	640	0	0	1	640	1	640	0.0	1281
ARO:3000198	WP_010989789.1	0.924	133	10	0	1	133	1	133	1.6259999999999999e-81	260
ARO:3000205	WP_008651082.1	0.994	388	2	0	1	388	1	388	2.5400000000000003e-264	802
ARO:3000215	WP_000952923.1	1.0	585	0	0	1	585	1	585	0.0	1205
ARO:3000230	WP_032490446.1	0.971	177	5	0	1	177	1	177	4.160999999999999e-118	368
ARO:3000250	WP_032489016.1	0.991	244	2	0	1	244	1	244	7.021e-163	501
