query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
aac(2')-Ia	WP_004918308.1	1.0	178	0	0	1	178	1	178	7.289e-121	376
aac(2')-Ib	WP_003881640.1	1.0	181	0	0	1	181	15	195	6.318000000000001e-124	385
aac(2')-Ic	WP_003899880.1	1.0	172	0	0	1	172	10	181	1.62e-117	366
aac(2')-Id	WP_011726942.1	1.0	191	0	0	1	191	20	210	2.352e-131	407
aac(2')-Ie	WP_010908954.1	1.0	182	0	0	1	182	1	182	2.462e-126	392
aac(2')-IIa	WP_063839881.1	1.0	260	0	0	1	260	1	260	8.947e-177	542
aac(3)-Ia	WP_002089484.1	0.987	154	2	0	24	177	1	154	5.683e-98	310
aac(3)-Ib	WP_079459897.1	0.993	154	1	0	23	176	1	154	5.966e-97	307
aac(3)-Ib-aac(6')-Ib	WP_063838852.1	1.0	334	0	0	1	334	1	334	3.6669999999999995e-224	683
aac(3)-Ic	WP_034006142.1	1.0	156	0	0	1	156	1	156	1.572e-101	319
aac(3)-Id	WP_038404949.1	1.0	144	0	0	1	144	15	158	2.819e-89	283
aac(3)-If	WP_063856942.1	1.0	154	0	0	1	154	1	154	1.907e-98	310
aac(3)-Ig	WP_011468318.1	1.0	158	0	0	1	158	1	158	2.098e-99	313
aac(3)-Ih	WP_011749610.1	1.0	152	0	0	1	152	1	152	1.733e-98	310
aac(3)-Ii	WP_011540937.1	1.0	152	0	0	1	152	1	152	3.178e-100	315
aac(3)-IIa	WP_002063884.1	0.996	286	1	0	1	286	1	286	2.805e-194	594
aac(3)-IIb	WP_033147097.1	1.0	269	0	0	1	269	1	269	1.906e-181	556
aac(3)-IIc	WP_063840266.1	1.0	286	0	0	1	286	1	286	5.68e-195	596
aac(3)-IId	WP_000557454.1	1.0	286	0	0	1	286	1	286	2.556e-195	597
aac(3)-IIIa	WP_063840261.1	1.0	271	0	0	1	271	1	271	3.202e-185	567
aac(3)-IIIc	WP_063840263.1	1.0	279	0	0	1	279	1	279	3.8759999999999996e-187	573
aac(3)-IV	WP_001199192.1	1.0	234	0	0	1	234	25	258	1.1730000000000001e-160	494
aac(3)-IXa	WP_063840269.1	1.0	281	0	0	1	281	1	281	2.018e-195	597
aac(3)-VIa	WP_000131886.1	0.996	299	1	0	1	299	1	299	4.129e-205	626
aac(3)-VIIa	WP_063840272.1	1.0	288	0	0	1	288	1	288	4.2980000000000005e-199	608
