query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
aac(2')-Ia	ARO:3002523	1.0	178	0	0	1	178	1	178	4.754000000000001e-121	376
aac(2')-Ib	ARO:3002524	1.0	181	0	0	1	181	15	195	4.121e-124	385
aac(2')-Ic	ARO:3002525	1.0	172	0	0	1	172	10	181	1.057e-117	366
aac(2')-Id	ARO:3002526	1.0	191	0	0	1	191	20	210	1.5340000000000002e-131	407
aac(2')-Ie	ARO:3002527	1.0	182	0	0	1	182	1	182	1.606e-126	392
aac(2')-IIa	ARO:3004628	1.0	260	0	0	1	260	1	260	5.836e-177	542
aac(3)-Ia	ARO:3002528	1.0	154	0	0	24	177	1	154	1.515e-99	314
aac(3)-Ib	ARO:3002530	1.0	176	0	0	1	176	1	176	8.436999999999999e-114	355
aac(3)-Ib-aac(6')-Ib	ARO:3002600	1.0	334	0	0	1	334	1	334	2.392e-224	683
aac(3)-Ic	ARO:3002531	1.0	156	0	0	1	156	1	156	1.025e-101	319
aac(3)-Id	ARO:3002529	1.0	144	0	0	1	144	15	158	1.839e-89	283
aac(3)-IIb	ARO:3002534	1.0	269	0	0	1	269	1	269	1.243e-181	556
aac(3)-IIc	ARO:3002535	1.0	286	0	0	1	286	1	286	3.704e-195	596
aac(3)-IId	ARO:3004623	1.0	286	0	0	1	286	1	286	1.6669999999999999e-195	597
aac(3)-IIe	ARO:3004621	1.0	286	0	0	1	286	1	286	8.233e-195	595
aac(3)-IIIa	ARO:3002536	1.0	271	0	0	1	271	1	271	2.089e-185	567
aac(3)-IIIc	ARO:3002538	1.0	279	0	0	1	279	1	279	2.5279999999999997e-187	573
aac(3)-IV	ARO:3002539	1.0	234	0	0	1	234	25	258	7.649e-161	494
aac(3)-IXa	ARO:3002543	1.0	281	0	0	1	281	1	281	1.3159999999999999e-195	597
aac(3)-VIa	ARO:3002540	1.0	299	0	0	1	299	1	299	1.212e-205	627
aac(3)-VIIa	ARO:3002541	1.0	288	0	0	1	288	1	288	2.8030000000000003e-199	608
aac(3)-VIIIa	ARO:3002542	1.0	281	0	0	1	281	6	286	1.445e-194	594
aac(3)-Xa	ARO:3002544	1.0	284	0	0	1	284	1	284	3.0699999999999997e-196	599
aac(6')-29a	ARO:3002583	1.0	115	0	0	1	115	19	133	9.731e-74	236
aac(6')-29b	ARO:3002584	1.0	115	0	0	1	115	19	133	4.37e-74	237
aac(6')-30-aac(6')-Ib'	ARO:3002599	1.0	328	0	0	1	328	1	328	4.399e-223	679
aac(6')-31	ARO:3002585	1.0	172	0	0	1	172	1	172	1.057e-117	366
aac(6')-32	ARO:3002586	1.0	184	0	0	1	184	1	184	1.767e-126	392
aac(6')-33	ARO:3002587	1.0	184	0	0	1	184	1	184	7.947e-127	393
aac(6')-aph(2'')	ARO:3002597	1.0	479	0	0	1	479	1	479	0.0	1012
