query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
WP_000027050.1	ARO:3000979	1.0	286	0	0	1	286	1	286	5.379e-191	584
WP_000027057.1	ARO:3000873	1.0	286	0	0	1	286	1	286	5.379e-191	584
WP_000027060.1	ARO:3001044	1.0	286	0	0	1	286	1	286	5.379e-191	584
WP_000027061.1	ARO:3000882	1.0	286	0	0	1	286	1	286	5.379e-191	584
WP_000031017.1	ARO:3000318	1.0	302	0	0	1	302	1	302	2.575e-207	632
WP_000034420.1	ARO:3000413	1.0	263	0	0	1	263	1	263	1.1789999999999999e-170	524
WP_000052512.1	ARO:3003109	1.0	491	0	0	1	491	1	491	1e-323	979
WP_000054744.1	ARO:3005045	1.0	184	0	0	1	184	1	184	9.618e-125	387
WP_000067268.1	ARO:3002630	1.0	260	0	0	1	260	1	260	9.320000000000001e-172	527
WP_000116906.1	ARO:3002659	1.0	266	0	0	15	280	1	266	7.791000000000001e-184	563
WP_000131886.1	ARO:3002540	0.996	299	1	0	1	299	1	299	2.693e-205	626
WP_000155092.1	ARO:3003741	1.0	294	0	0	1	294	1	294	9.961e-197	601
WP_000163435.1	ARO:3000521	0.996	1024	4	0	1	1024	1	1024	0.0	2141
WP_000214125.1	ARO:3005043	1.0	404	0	0	1	404	1	404	3.836e-263	799
WP_000237816.1	ARO:3002847	1.0	150	0	0	1	150	1	150	1.4089999999999998e-103	324
WP_000239590.1	ARO:3001878	1.0	291	0	0	1	291	1	291	8.198e-189	578
WP_000239591.1	ARO:3001894	1.0	291	0	0	1	291	1	291	8.198e-189	578
WP_000347934.1	ARO:3003923	1.0	1050	0	0	1	1050	1	1050	0.0	2087
WP_000359986.1	ARO:3000858	1.0	257	0	0	1	257	1	257	6.707e-174	533
WP_000361704.1	ARO:3002801	1.0	218	0	0	1	218	1	218	1.398e-154	475
WP_000361705.1	ARO:3002802	1.0	218	0	0	1	218	1	218	1.398e-154	475
WP_000369216.1	ARO:3000124	0.991	123	1	0	1	123	1	123	7.954e-80	254
WP_000402347.1	ARO:3002949	1.0	202	0	0	1	202	1	202	2.232e-141	436
WP_000415714.1	ARO:3002799	1.0	218	0	0	1	218	1	218	3.418e-153	471
WP_000422633.1	ARO:3002653	1.0	259	0	0	1	259	1	259	1.8e-172	529
WP_000422636.1	ARO:3002652	1.0	259	0	0	1	259	1	259	3.642e-173	531
WP_000492284.1	ARO:3000178	0.997	459	1	0	1	459	1	459	3.081e-302	915
WP_000516404.1	ARO:3002962	1.0	161	0	0	1	161	1	161	5.319e-103	323
WP_000557454.1	ARO:3004623	1.0	286	0	0	1	286	1	286	1.6669999999999999e-195	597
WP_000571065.1	ARO:3002863	1.0	169	0	0	1	169	1	169	3.618e-111	347
WP_000572405.1	ARO:3002644	1.0	264	0	0	1	264	1	264	5.845999999999999e-179	548
WP_000586782.1	ARO:3001415	1.0	266	0	0	1	266	1	266	1.988e-183	561
WP_000616116.1	ARO:3004674	1.0	139	0	0	1	139	1	139	1.63e-96	303
WP_000627290.1	ARO:3002897	0.994	180	1	0	1	180	1	180	7.217e-126	390
WP_000700648.1	ARO:3002835	0.937	161	10	0	1	161	1	161	4.388e-105	329
WP_000703246.1	ARO:3005084	1.0	157	0	0	1	157	1	157	1.792e-104	327
WP_000703418.1	ARO:3002862	1.0	157	0	0	1	157	1	157	1.9739999999999998e-103	324
WP_000706731.1	ARO:3002370	1.0	299	0	0	1	299	1	299	2.118e-199	609
WP_000713530.1	ARO:3001705	1.0	275	0	0	1	275	1	275	2.77e-184	564
WP_000721309.1	ARO:3000617	0.998	668	1	0	1	668	1	668	0.0	1374
WP_000722315.1	ARO:3001404	1.0	274	0	0	1	274	1	274	4.437e-187	572
WP_000725529.1	ARO:3001209	1.0	665	0	0	1	665	1	665	0.0	1369
WP_000733283.1	ARO:3000621	0.96	281	11	0	1	281	1	281	1.428e-177	545
WP_000742814.1	ARO:3002655	1.0	341	0	0	1	341	1	341	5.9189999999999995e-235	714
WP_000778180.1	ARO:3004289	1.0	374	0	0	1	374	17	390	7.379000000000001e-258	782
WP_000799227.1	ARO:3004189	0.976	256	6	0	1	256	1	256	1.233e-166	512
WP_000800689.1	ARO:3004660	1.0	210	0	0	1	210	1	210	4.117e-147	453
WP_000846390.1	ARO:3001405	1.0	266	0	0	1	266	1	266	1.568e-177	544
WP_000854009.1	ARO:3001676	1.0	276	0	0	1	276	1	276	1.575e-182	559
WP_000854010.1	ARO:3001678	1.0	276	0	0	1	276	1	276	1.575e-182	559
