query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
ARR-6	ARO:3002848	0.859	150	21	0	1	150	1	150	1.3580000000000001e-84	269
ARR-6	ARO:3002847	0.856	150	21	0	1	150	1	150	3.501e-84	268
ARR-6	ARO:3002849	0.836	150	24	0	1	150	1	150	1.028e-81	261
POM-1	ARO:3000582	0.657	255	87	0	16	270	26	280	2.112e-104	333
POM-1	ARO:3000856	0.414	229	131	0	33	257	34	262	2.7699999999999996e-47	168
POM-1	ARO:3000851	0.402	251	142	0	32	270	40	290	2.879e-50	177
VanA	ARO:3000010	0.908	343	31	0	1	343	1	343	2.344e-213	652
VanA	ARO:3002911	0.816	342	63	0	1	342	1	342	5.973999999999999e-187	576
VanA	ARO:3002908	0.786	343	73	0	1	343	1	343	7.025e-179	552
VanC2	ARO:3000368	0.687	348	106	0	1	348	1	341	2.6e-153	479
VanC2	ARO:3002907	0.552	347	153	0	1	347	1	342	4.068e-114	366
VanC2	ARO:3002909	0.454	346	188	0	2	347	4	349	4.716e-86	284
VanC2XY	ARO:3000368	0.685	348	107	0	1	348	1	341	1.254e-152	477
VanC2XY	ARO:3002907	0.557	347	151	0	1	347	1	342	9.382000000000001e-116	370
VanC2XY	ARO:3002909	0.457	346	187	0	2	347	4	349	5.2660000000000005e-87	287
VanC3XY	ARO:3000368	0.687	348	106	0	1	348	1	341	3.562e-153	479
VanC3XY	ARO:3002910	0.554	348	153	0	1	348	4	346	4.513e-115	368
VanC3XY	ARO:3002907	0.553	347	152	0	1	347	1	342	1.158e-114	367
VanC4XY	ARO:3000368	0.685	348	107	0	1	348	1	341	9.156e-153	477
VanC4XY	ARO:3002907	0.555	347	152	0	1	347	1	342	4.513e-115	368
VanC4XY	ARO:3002909	0.452	346	189	0	2	347	4	349	1.6500000000000001e-85	283
VanE	ARO:3002907	0.93	179	12	0	1	179	131	309	2.289e-112	351
VanE	ARO:3002912	0.629	179	66	0	1	179	131	309	5.596e-68	223
VanE	ARO:3002910	0.597	179	72	0	1	179	134	312	2.532e-63	210
VanG2XY	ARO:3002909	0.864	349	47	0	1	349	1	349	1.2909999999999999e-204	627
VanG2XY	ARO:3002910	0.481	346	176	0	4	349	5	345	7.945999999999999e-94	307
VanG2XY	ARO:3002912	0.47	343	179	0	4	346	2	339	9.63e-90	295
aac(3)-I	ARO:3002528	0.906	154	14	0	1	154	1	154	7.125999999999999e-93	293
aac(3)-I	ARO:3002530	0.753	154	38	0	1	154	23	176	1.521e-73	238
aac(3)-I	ARO:3002600	0.751	152	38	0	1	152	1	152	3.5710000000000003e-72	234
aac(3)-IIIb	ARO:3002537	0.928	245	18	0	1	245	28	272	4.06e-155	478
aac(3)-IIIb	ARO:3002538	0.89	244	27	0	1	244	35	278	9.14e-147	454
aac(3)-IIIb	ARO:3002536	0.478	241	123	0	1	241	29	265	3.3370000000000004e-63	213
aac(3)-IIa	ARO:3004621	0.967	286	9	0	1	286	1	286	5.67e-191	584
aac(3)-IIa	ARO:3004623	0.95	286	14	0	1	286	1	286	3.8609999999999997e-187	573
aac(3)-IIa	ARO:3002535	0.94	286	17	0	1	286	1	286	1.124e-184	566
aac(3)-IVa	ARO:3002539	0.984	222	4	0	1	222	25	246	6.102e-150	463
aac(3)-IVa	ARO:3005061	0.783	222	48	0	1	222	16	237	3.001e-113	357
aac(3)-IVa	ARO:3002544	0.289	159	98	0	1	139	34	192	1.339e-14	70
aac(3)-If	ARO:3002530	0.852	154	23	0	1	154	23	176	5.096e-86	274
aac(3)-If	ARO:3002600	0.849	152	23	0	1	152	1	152	1.641e-84	269
aac(3)-If	ARO:3002528	0.744	154	39	0	1	154	1	154	2.605e-72	234
aac(3)-Ig	ARO:3002529	0.643	152	54	0	1	152	1	152	1.159e-58	195
aac(3)-Ig	ARO:3002530	0.583	144	59	0	7	150	30	171	5.624e-48	164
aac(3)-Ig	ARO:3002600	0.56	152	66	0	7	158	8	159	2.993e-48	165
aac(3)-Ih	ARO:3002531	0.612	140	54	0	8	147	11	150	7.15e-50	169
aac(3)-Ih	ARO:3002530	0.612	140	54	0	8	147	31	170	7.15e-50	169
aac(3)-Ih	ARO:3002600	0.612	140	54	0	8	147	9	148	7.15e-50	169
aac(3)-Ii	ARO:3002530	0.588	144	59	0	5	148	30	173	8.923e-49	166
aac(3)-Ii	ARO:3002600	0.586	143	59	0	5	147	8	150	4.321e-48	164
aac(3)-Ii	ARO:3002531	0.571	147	63	0	3	149	8	154	8.122e-48	164
aac(3)-VIII	ARO:3002542	0.948	282	15	0	1	282	6	286	6.175e-184	563
